Filename,List length,Mean word length,Length of shortest word,Length of longest word,Free of prefix words?,Free of suffix words?,Entropy per word,Efficiency per character,Assumed entropy per character,Above brute force line?,Shortest edit distance,Longest shared prefix,Unique character prefix
./lists/1password-2023.txt,18176,6.20,3,8,false,false,14.150,2.283,4.717,false,1,7,8
./lists/NSA-RandPassGenerator-wordlist.txt,117828,7.90,2,21,false,false,16.846,2.133,8.423,false,1,20,21
./lists/bips-0039-english.txt,2048,5.40,3,8,false,false,11.000,2.035,3.667,true,1,3,4
./lists/eff-long.txt,7776,6.99,3,9,true,false,12.925,1.849,4.308,true,1,8,9
./lists/eff-short-general.txt,1296,4.54,3,5,true,false,10.340,2.277,3.447,true,1,4,5
./lists/eff-short-unique-prefixes.txt,1296,7.32,3,10,true,false,10.340,1.413,3.447,true,3,2,3
./lists/keepassxc.txt,7776,6.99,3,10,true,false,12.925,1.848,4.308,true,1,8,9
./lists/reinhold.txt,7776,4.24,1,6,false,false,12.925,3.049,12.925,false,1,5,6
